2021-01-16 03:33:06 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8160%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-ucenter%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-ucenter&serviceName=DEFAULT_GROUP%40%40service-ucenter&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-16 03:41:39 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 03:52:15 |WARN  |http-nio-8160-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4fd6e265 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:52:18 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3d4393e8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:52:20 |WARN  |http-nio-8160-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@750d2f62 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:52:23 |WARN  |http-nio-8160-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@397c0098 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:54:16 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2fad5771 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:54:18 |WARN  |http-nio-8160-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6e699703 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:54:19 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1c3f6f8f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:54:19 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1efa81eb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:54:19 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@50f1bfdf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 03:54:19 |WARN  |http-nio-8160-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@16527ead (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 05:47:51 |WARN  |http-nio-8160-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1e813d0f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-16 08:25:26 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter] & group[DEFAULT_GROUP]
2021-01-16 08:25:26 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter.yaml] & group[DEFAULT_GROUP]
2021-01-16 08:25:26 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[service-ucenter-dev.yaml] & group[DEFAULT_GROUP]
2021-01-16 08:25:28 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2021-01-16 08:25:28 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
